t (time),Fused ID @t+1,Fusion ID @t,Fusion ID @t,Fusion ID @t,Fusion ID @t,Fusion ID @t,Fusion ID @t,Fusion ID @t,Fusion ID @t,Fusion ID @t,Fusion ID @t,Fusion ID @t,Fusion ID @t,
2,300,1,3,,,,,,,,,,,
2,308,151,166,,,,,,,,,,,
3,316,118,120,,,,,,,,,,,
5,332,98,102,,,,,,,,,,,
10,355,308,310,,,,,,,,,,,
11,356,25,26,,,,,,,,,,,
13,364,79,83,,,,,,,,,,,
14,370,96,99,,,,,,,,,,,
15,372,150,153,,,,,,,,,,,
15,376,268,277,,,,,,,,,,,
15,377,272,276,,,,,,,,,,,
17,384,379,45,,,,,,,,,,,
17,385,81,93,,,,,,,,,,,
19,390,302,31,,,,,,,,,,,
21,406,232,238,,,,,,,,,,,
22,408,203,209,,,,,,,,,,,
24,417,185,188,,,,,,,,,,,
27,432,148,158,,,,,,,,,,,
29,439,204,213,,,,,,,,,,,
29,440,253,255,,,,,,,,,,,
31,448,104,434,,,,,,,,,,,
31,455,377,274,,,,,,,,,,,
32,456,36,37,,,,,,,,,,,
32,458,78,385,,,,,,,,,,,
32,459,103,107,,,,,,,,,,,
33,467,461,417,,,,,,,,,,,
34,470,457,384,,,,,,,,,,,
34,471,332,463,,,,,,,,,,,
37,482,12,13,,,,,,,,,,,
38,486,21,29,,,,,,,,,,,
38,488,258,265,,,,,,,,,,,
39,489,484,300,,,,,,,,,,,
42,495,489,490,,,,,,,,,,,
43,497,39,43,,,,,,,,,,,
43,499,212,496,,,,,,,,,,,
44,504,290,294,,,,,,,,,,,
45,506,63,72,,,,,,,,,,,
45,508,239,237,,,,,,,,,,,
45,509,504,505,,,,,,,,,,,
47,515,180,467,,,,,,,,,,,
48,519,250,262,,,,,,,,,,,
49,520,6,419,,,,,,,,,,,
49,522,95,471,,,,,,,,,,,
49,523,499,512,,,,,,,,,,,
49,524,266,264,,,,,,,,,,,
53,532,515,181,,,,,,,,,,,
54,533,51,49,,,,,,,,,,,
56,538,8,9,,,,,,,,,,,
56,539,200,439,,,,,,,,,,,
56,541,376,282,,,,,,,,,,,
57,544,210,220,,,,,,,,,,,
59,549,135,355,,,,,,,,,,,
59,550,171,175,,,,,,,,,,,
61,558,193,197,,,,,,,,,,,
62,559,88,90,,,,,,,,,,,
62,561,154,164,,,,,,,,,,,
62,562,296,298,,,,,,,,,,,
64,566,456,497,,,,,,,,,,,
64,567,364,82,,,,,,,,,,,
65,570,126,131,,,,,,,,,,,
66,575,561,172,,,,,,,,,,,
67,577,94,92,,,,,,,,,,,
67,578,367,523,,,,,,,,,,,
68,583,55,62,,,,,,,,,,,
68,584,133,136,,,,,,,,,,,
68,586,549,149,,,,,,,,,,,
68,588,184,195,,,,,,,,,,,
69,590,586,139,,,,,,,,,,,
69,591,550,178,,,,,,,,,,,
70,592,137,144,,,,,,,,,,,
70,594,588,198,,,,,,,,,,,
70,595,524,267,,,,,,,,,,,
71,596,46,50,,,,,,,,,,,
72,597,580,478,,,,,,,,,,,
72,600,432,575,,,,,,,,,,,
72,601,161,160,,,,,,,,,,,
73,602,538,318,,,,,,,,,,,
73,603,58,68,,,,,,,,,,,
74,605,584,134,,,,,,,,,,,
75,609,591,587,,,,,,,,,,,
76,610,27,566,,,,,,,,,,,
76,611,608,61,,,,,,,,,,,
76,612,122,570,,,,,,,,,,,
76,614,263,595,,,,,,,,,,,
78,616,610,33,,,,,,,,,,,
78,617,66,75,,,,,,,,,,,
78,619,544,231,,,,,,,,,,,
78,620,248,259,,,,,,,,,,,
79,621,616,32,,,,,,,,,,,
79,623,129,618,,,,,,,,,,,
79,624,194,578,,,,,,,,,,,
80,627,207,205,,,,,,,,,,,
80,628,280,283,,,,,,,,,,,
80,629,291,589,,,,,,,,,,,
82,632,590,585,,,,,,,,,,,
84,634,614,269,284,,,,,,,,,,
85,635,77,85,,,,,,,,,,,
85,636,110,116,,,,,,,,,,,
85,638,594,558,,,,,,,,,,,
87,642,140,601,,,,,,,,,,,
88,643,10,485,,,,,,,,,,,
88,644,638,189,,,,,,,,,,,
88,645,256,440,,,,,,,,,,,
89,647,624,202,,,,,,,,,,,
89,648,406,241,,,,,,,,,,,
90,650,559,370,,,,,,,,,,,
90,651,612,146,,,,,,,,,,,
90,652,125,646,,,,,,,,,,,
90,653,609,165,,,,,,,,,,,
91,655,408,539,,,,,,,,,,,
92,657,632,372,,,,,,,,,,,
93,660,617,67,,,,,,,,,,,
94,661,567,458,,,,,,,,,,,
94,663,270,281,,,,,,,,,,,
95,664,650,577,,,,,,,,,,,
95,665,224,236,,,,,,,,,,,
96,667,533,611,,,,,,,,,,,
96,668,664,560,,,,,,,,,,,
97,671,643,20,,,,,,,,,,,
97,672,668,669,,,,,,,,,,,
97,673,448,111,,,,,,,,,,,
98,676,390,469,,,,,,,,,,,
98,679,644,218,,,,,,,,,,,
99,680,596,660,,,,,,,,,,,
99,681,459,678,,,,,,,,,,,
99,683,509,292,,,,,,,,,,,
100,685,100,673,,,,,,,,,,,
100,686,648,508,,,,,,,,,,,
101,687,621,59,,,,,,,,,,,
101,688,71,661,,,,,,,,,,,
101,690,651,657,,,,,,,,,,,
101,691,121,652,,,,,,,,,,,
101,692,532,655,,,,,,,,,,,
102,693,687,680,,,,,,,,,,,
102,695,667,52,,,,,,,,,,,
102,697,138,600,,,,,,,,,,,
102,699,645,260,,,,,,,,,,,
102,700,634,628,,,,,,,,,,,
103,701,108,115,,,,,,,,,,,
103,702,192,196,,,,,,,,,,,
103,703,519,488,,,,,,,,,,,
104,705,480,690,,,,,,,,,,,
104,706,162,653,,,,,,,,,,,
104,707,191,208,,,,,,,,,,,
104,708,619,199,,,,,,,,,,,
105,709,693,694,,,,,,,,,,,
105,710,665,226,,,,,,,,,,,
106,712,706,679,,,,,,,,,,,
107,714,709,57,,,,,,,,,,,
108,715,641,356,,,,,,,,,,,
108,717,635,76,,,,,,,,,,,
108,719,683,273,,,,,,,,,,,
109,720,615,557,,,,,,,,,,,
112,723,691,642,168,,,,,,,,,,
112,724,227,233,,,,,,,,,,,
113,725,603,672,,,,,,,,,,,
113,726,705,112,,,,,,,,,,,
114,729,605,299,,,,,,,,,,,
114,730,627,217,,,,,,,,,,,
116,732,64,717,,,,,,,,,,,
116,734,729,155,,,,,,,,,,,
116,735,692,225,,,,,,,,,,,
116,736,724,229,,,,,,,,,,,
118,737,725,87,,,,,,,,,,,
119,739,495,602,,,,,,,,,,,
119,740,16,18,,,,,,,,,,,
119,741,714,69,,,,,,,,,,,
119,747,712,708,686,,,,,,,,,,
119,748,703,663,,,,,,,,,,,
120,750,688,701,,,,,,,,,,,
120,752,735,606,,,,,,,,,,,
120,753,173,183,,,,,,,,,,,
120,754,707,710,,,,,,,,,,,
120,756,541,271,,,,,,,,,,,
121,757,470,737,,,,,,,,,,,
121,759,119,751,,,,,,,,,,,
121,760,699,719,,,,,,,,,,,
122,761,682,758,,,,,,,,,,,
122,762,746,747,571,,,,,,,,,,
123,763,520,671,423,,,,,,,,,,
123,765,741,41,,,,,,,,,,,
123,767,128,744,,,,,,,,,,,
123,768,247,257,,,,,,,,,,,
123,769,756,287,288,,,,,,,,,,
124,772,765,521,750,,,,,,,,,,
124,773,757,54,,,,,,,,,,,
124,774,732,522,,,,,,,,,,,
124,775,681,636,,,,,,,,,,,
124,777,762,201,,,,,,,,,,,
125,779,775,101,,,,,,,,,,,
125,780,114,592,,,,,,,,,,,
125,781,760,279,,,,,,,,,,,
126,782,726,316,697,,,,,,,,,,
127,783,763,766,,,,,,,,,,,
127,787,685,782,,,,,,,,,,,
127,788,723,752,,,,,,,,,,,
127,789,132,152,,,,,,,,,,,
127,790,776,777,,,,,,,,,,,
128,792,783,770,,,,,,,,,,,
128,794,772,109,,,,,,,,,,,
128,796,790,206,649,,,,,,,,,,
128,797,186,791,,,,,,,,,,,
128,798,620,781,,,,,,,,,,,
129,799,759,623,,,,,,,,,,,
129,800,767,789,,,,,,,,,,,
129,801,798,252,,,,,,,,,,,
130,802,780,476,,,,,,,,,,,
130,803,788,755,736,,,,,,,,,,
130,804,167,170,,,,,,,,,,,
130,805,748,769,,,,,,,,,,,
131,806,740,794,28,,,,,,,,,,
131,807,774,787,,,,,,,,,,,
131,808,803,734,,,,,,,,,,,
131,809,455,629,,,,,,,,,,,
132,812,802,123,,,,,,,,,,,
132,814,796,216,,,,,,,,,,,
132,815,753,797,,,,,,,,,,,
133,820,806,808,,,,,,,,,,,
133,821,814,240,,,,,,,,,,,
134,824,779,142,,,,,,,,,,,
134,825,800,804,,,,,,,,,,,
134,826,813,821,818,245,,,,,,,,,
134,828,768,261,,,,,,,,,,,
134,832,810,822,,,,,,,,,,,
136,833,812,799,,,,,,,,,,,
136,834,562,832,,,,,,,,,,,
137,835,38,773,,,,,,,,,,,
139,838,820,174,,,,,,,,,,,
139,840,826,700,,,,,,,,,,,
139,841,647,564,,,,,,,,,,,
140,842,145,157,,,,,,,,,,,
140,843,805,295,,,,,,,,,,,
141,844,838,583,,,,,,,,,,,
141,848,639,833,,,,,,,,,,,
141,849,840,801,,,,,,,,,,,
141,851,841,754,,,,,,,,,,,
141,852,843,275,,,,,,,,,,,
142,856,844,74,,,,,,,,,,,
144,861,856,850,,,,,,,,,,,
144,863,117,825,,,,,,,,,,,
144,864,848,842,,,,,,,,,,,
145,867,720,516,,,,,,,,,,,
145,869,807,815,,,,,,,,,,,
145,872,809,286,,,,,,,,,,,
146,873,861,80,,,,,,,,,,,
147,874,482,860,,,,,,,,,,,
147,877,864,816,,,,,,,,,,,
148,880,869,863,,,,,,,,,,,
148,881,851,235,,,,,,,,,,,
148,882,828,249,,,,,,,,,,,
149,886,879,859,,,,,,,,,,,
149,888,849,730,,,,,,,,,,,
149,889,872,884,,,,,,,,,,,
150,890,792,5,,,,,,,,,,,
150,891,715,885,,,,,,,,,,,
150,892,14,22,,,,,,,,,,,
150,894,824,888,,,,,,,,,,,
150,895,881,221,,,,,,,,,,,
151,900,880,894,,,,,,,,,,,
151,902,877,895,,,,,,,,,,,
151,903,889,883,,,,,,,,,,,
153,906,891,17,676,,,,,,,,,,
153,909,873,711,113,424,,,,,,,,,
153,911,835,899,,,,,,,,,,,
153,914,902,246,,,,,,,,,,,
154,919,904,906,,,,,,,,,,,
154,920,909,622,84,,,,,,,,,,
154,924,914,214,,,,,,,,,,,
155,926,900,243,,,,,,,,,,,
155,927,887,847,,,,,,,,,,,
156,929,4,897,,,,,,,,,,,
156,930,739,382,,,,,,,,,,,
156,932,920,923,,,,,,,,,,,
156,933,911,56,926,924,925,182,852,916,903,918,,,
156,943,698,915,,,,,,,,,,,
157,949,70,73,,,,,,,,,,,
157,952,943,882,,,,,,,,,,,
158,964,932,886,60,927,,,,,,,,,
158,968,933,948,177,950,702,951,952,953,854,954,293,834,
158,971,695,506,,,,,,,,,,,
