t (time),Mother ID @t,Daughter ID @t+1,Daughter ID @t+1
71,4,68,70
20,5,26,28
59,6,53,54
14,8,17,19
97,16,106,107
38,18,34,36
16,20,22,23
64,30,63,64
60,34,56,57
42,38,39,40
99,40,112,114
82,48,80,82
102,51,117,120
129,58,156,159
135,61,168,170
82,66,81,83
163,69,234,235
80,73,77,78
90,78,88,89
163,82,231,236
144,83,191,193
91,84,90,91
94,90,96,97
155,97,215,216
99,108,111,113
107,109,131,132
157,112,221,222
103,115,121,122
168,121,253,254
188,126,306,308
109,133,137,139
111,136,141,142
130,143,160,161
121,148,152,153
119,149,150,151
143,150,187,188
145,151,195,198
163,152,232,238
164,153,240,241
150,174,206,208
148,177,202,204
142,180,185,186
151,184,209,210
148,186,203,205
179,190,283,284
171,197,259,260
215,204,415,421
161,205,229,230
159,207,224,225
156,213,219,220
173,218,264,266
201,220,353,354
160,223,226,227
229,224,515,522
212,227,399,400
224,229,480,484
231,230,535,541
232,238,543,546
224,240,478,482
231,241,534,540
167,242,249,252
210,245,390,392
170,246,256,257
215,249,413,417
228,250,505,509
209,252,383,386
197,258,339,341
180,261,286,290
230,267,524,527
175,268,270,271
176,269,275,277
177,272,278,279
235,275,561,569
180,281,287,291
182,288,295,296
183,293,297,298
214,295,409,412
185,298,300,301
213,302,402,406
203,305,360,363
189,307,310,314
193,311,326,327
206,324,373,377
196,333,335,337
199,334,344,346
218,343,440,445
200,345,349,351
203,352,359,362
204,355,364,366
210,357,389,391
222,360,467,473
204,361,365,368
206,369,371,376
230,370,528,529
216,371,428,429
229,375,517,523
209,381,384,387
209,382,385,388
224,387,479,483
225,395,489,491
213,397,401,405
215,398,419,420
219,400,451,454
238,410,585,589
218,416,442,448
217,427,434,436
219,437,449,452
222,463,468,474
229,471,519,520
238,472,587,588
226,488,495,498
228,493,507,513
229,499,514,518
228,503,506,510
230,520,530,531
236,521,570,576
231,525,536,537
234,532,552,553
232,539,544,545
235,548,559,564
236,550,574,575
