t (time),Fused ID @t+1,Fusion ID @t,Fusion ID @t,Fusion ID @t,Fusion ID @t
7,12,2,3,null,null
13,15,12,14,null,null
15,20,17,19,null,null
15,21,10,11,null,null
19,25,15,13,null,null
28,30,21,29,null,null
29,31,22,23,null,null
39,37,27,35,null,null
41,38,36,33,null,null
43,41,25,37,null,null
49,44,28,43,null,null
53,46,44,26,null,null
55,48,41,47,null,null
58,52,32,50,null,null
61,58,53,54,null,null
61,59,56,57,null,null
68,66,52,55,null,null
76,73,68,70,null,null
86,84,42,80,null,null
90,87,46,86,null,null
95,98,87,92,null,null
95,99,7,95,null,null
96,102,100,31,null,null
97,105,99,103,null,null
98,108,106,107,null,null
98,109,59,94,null,null
101,115,96,91,null,null
101,116,110,102,null,null
103,123,118,116,null,null
104,124,101,98,null,null
106,128,111,113,null,null
108,133,131,132,null,null
108,134,124,129,null,null
109,136,128,135,null,null
111,140,104,134,138,null
112,143,130,123,null,null
113,145,140,144,null,null
114,146,141,142,null,null
116,148,147,146,null,null
118,149,77,93,null,null
126,154,117,120,null,null
129,157,114,155,null,null
134,164,154,158,null,null
134,165,105,127,null,null
135,169,157,39,null,null
136,173,167,145,null,null
136,174,168,170,null,null
137,175,166,164,null,null
138,177,165,171,null,null
139,180,176,169,null,null
141,181,178,175,null,null
143,190,173,182,null,null
145,194,187,188,null,null
145,196,192,181,null,null
145,197,137,139,null,null
152,211,194,195,null,null
153,212,206,208,null,null
154,213,160,210,null,null
156,218,215,216,null,null
158,223,221,222,null,null
161,228,212,214,null,null
163,233,191,193,null,null
164,239,228,237,null,null
165,242,201,198,null,null
166,246,209,202,null,null
167,248,217,211,null,null
167,250,239,244,null,null
171,258,156,255,null,null
172,261,231,236,null,null
172,262,259,260,null,null
174,267,248,265,null,null
174,268,264,266,null,null
175,272,256,257,null,null
178,281,276,159,null,null
178,282,278,279,null,null
180,288,203,199,null,null
181,292,286,290,null,null
181,293,196,219,null,null
186,302,294,291,null,null
186,303,299,225,null,null
187,304,300,301,null,null
188,307,282,304,null,null
189,312,235,234,null,null
191,317,306,308,null,null
191,318,232,287,null,null
191,319,315,312,null,null
192,323,310,314,null,null
192,324,161,316,null,null
195,331,253,254,null,null
195,332,320,328,null,null
195,333,323,330,null,null
196,334,321,292,null,null
197,338,322,317,null,null
199,343,273,342,null,null
199,345,335,337,null,null
201,352,349,351,null,null
202,355,297,353,354,null
203,357,338,347,null,null
203,358,270,332,null,null
203,361,340,313,null,null
205,369,364,366,null,null
206,372,284,233,null,null
206,375,319,325,null,null
207,378,359,362,null,null
207,381,373,377,null,null
208,382,262,365,null,null
212,396,393,331,null,null
212,397,389,391,null,null
212,398,394,378,null,null
213,403,379,372,null,null
214,407,401,405,null,null
214,410,327,385,null,null
215,416,409,412,null,null
215,418,341,411,null,null
216,422,1,344,null,null
216,423,318,418,null,null
216,424,406,363,null,null
216,427,380,376,null,null
217,435,420,419,null,null
218,437,431,422,null,null
218,439,413,417,null,null
218,441,407,426,null,null
218,446,402,423,null,null
218,447,434,436,null,null
219,450,414,428,null,null
220,455,449,452,null,null
220,456,440,445,null,null
220,457,447,453,null,null
220,461,329,446,null,null
221,463,454,451,null,null
222,465,455,346,null,null
222,471,450,435,null,null
223,475,425,358,null,null
223,476,462,441,null,null
223,477,469,461,null,null
225,486,475,481,null,null
225,487,479,483,null,null
225,488,480,484,null,null
225,490,470,457,null,null
226,493,478,482,null,null
227,499,485,465,null,null
227,503,432,497,null,null
227,504,490,403,null,null
228,508,495,498,null,null
229,521,424,477,null,null
230,525,510,506,null,null
230,526,494,487,null,null
231,532,456,527,null,null
231,533,396,528,null,null
231,539,519,531,null,null
232,547,523,489,null,null
233,548,514,518,null,null
233,549,492,476,null,null
233,550,502,544,530,545
233,551,430,421,null,null
234,555,536,538,null,null
234,556,511,512,null,null
234,557,507,513,null,null
234,558,509,466,null,null
235,560,555,537,null,null
235,562,517,547,null,null
236,571,534,540,null,null
236,573,566,567,null,null
237,577,559,564,null,null
237,580,468,442,null,null
238,584,473,580,null,null
238,586,581,486,null,null
